age,loan_amt,is_idp,loan_amt_left,occp,family_income,educ,hh_size,grad_age
38,20000,1,20000,1,80000,12,1,37
38,20000,1,20000,1,80000,12,1,37
38,20000,1,20000,1,80000,12,1,37
38,20000,1,20000,1,80000,12,1,37
38,20000,1,20000,1,80000,12,1,37
29,36000,0,2000,1,65000,13,1,23
29,36000,0,2000,1,65000,13,1,23
29,38000,0,2000,1,65000,13,1,23
29,36000,0,2000,1,65000,13,1,23
29,39000,0,2000,1,65000,13,1,23
37,5500,0,2500,2,64000,9,5,30
37,5500,0,2500,2,64000,9,5,30
37,5500,0,2500,2,64000,9,5,30
37,5500,0,2500,2,64000,9,5,30
37,5500,0,2500,2,64000,9,5,30
29,30000,1,51000,1,32000,13,1,24
29,30000,1,51000,1,32000,13,1,24
29,30000,1,51000,1,31000,13,1,24
29,30000,1,51000,1,31000,13,1,24
29,30000,1,51000,1,31000,13,1,24
30,5000,1,4000,1,22000,11,3,29
30,5000,1,4000,1,23000,11,3,29
30,5000,1,4000,1,22000,11,3,29
30,5000,1,4000,1,23000,11,3,29
30,5000,1,4000,1,23000,11,3,29
44,40000,0,13000,1,93000,13,1,24
44,40000,0,12000,1,93000,13,1,24
44,40000,0,12000,1,93000,13,1,24
44,40000,0,12000,1,93000,13,1,24
44,40000,0,12000,1,93000,13,1,24
33,25000,0,16000,1,40000,12,2,25
33,25000,0,16000,1,40000,12,2,25
33,25000,0,16000,1,40000,12,2,25
33,25000,0,16000,1,40000,12,2,25
33,25000,0,16000,1,40000,12,2,25
40,22000,0,8000,3,86000,9,2,26
40,22000,0,7900,3,86000,9,2,26
40,22000,0,7900,3,86000,9,2,26
40,22000,0,7900,3,85000,9,2,26
40,22000,0,7900,3,86000,9,2,26
44,5000,0,2000,2,22000,12,1,38
44,5000,0,2000,2,21000,12,1,38
44,5000,0,2000,2,21000,12,1,38
44,5000,0,1900,2,22000,12,1,38
44,5000,0,2000,2,22000,12,1,38
34,32000,0,24000,0,37000,12,1,30
34,32000,0,24000,0,37000,12,1,30
34,32000,0,24000,0,37000,12,1,30
34,32000,0,24000,0,37000,12,1,30
34,32000,0,24000,0,37000,12,1,30
35,25000,0,20000,2,25000,12,1,29
35,24000,0,20000,2,25000,12,1,29
35,24000,0,20000,2,25000,12,1,29
35,25000,0,20000,2,25000,12,1,29
35,25000,0,20000,2,25000,12,1,29
39,200000,1,180000,1,0,14,2,27
39,200000,1,180000,1,0,14,2,27
39,200000,1,180000,1,0,14,2,27
39,200000,1,180000,1,0,14,2,27
39,200000,1,180000,1,0,14,2,27
55,40000,1,40000,1,64000,12,1,47
55,42000,1,42000,1,70000,12,1,47
55,41000,1,41000,1,69000,12,1,47
55,41000,1,41000,1,65000,12,1,47
55,45000,1,41000,1,74000,12,1,47
34,30000,0,3700,4,12000,10,1,22
34,30000,0,3700,4,12000,10,1,22
34,30000,0,3700,4,12000,10,1,22
34,30000,0,3700,4,12000,10,1,22
34,30000,0,3700,4,12000,10,1,22
32,29000,0,3800,1,92000,12,1,23
32,29000,0,3800,1,92000,12,1,23
32,29000,0,3800,1,92000,12,1,23
32,29000,0,3800,1,92000,12,1,23
32,29000,0,3800,1,92000,12,1,23
37,80000,1,79000,2,41000,12,1,32
37,80000,1,79000,2,41000,12,1,32
37,80000,1,79000,2,41000,12,1,32
37,80000,1,79000,2,41000,12,1,32
37,80000,1,79000,2,41000,12,1,32
28,17000,1,12000,3,43000,11,2,19
28,13000,1,12000,3,31000,11,2,19
28,12000,1,12000,3,33000,11,2,19
28,16000,1,12000,3,38000,11,2,19
28,20000,1,12000,3,25000,11,2,19
52,9000,0,7000,1,40000,11,1,47
52,9000,0,7000,1,40000,11,1,47
52,9000,0,7000,1,40000,11,1,47
52,9000,0,7000,1,40000,11,1,47
52,9000,0,7000,1,40000,11,1,47
51,6900,0,5000,3,140000,11,2,22
51,20000,0,5000,3,140000,11,2,22
51,5800,0,5000,3,140000,11,2,22
51,8700,0,5000,3,140000,11,2,22
51,16000,0,6000,3,140000,11,2,22
27,15000,0,14000,1,85000,9,2,26
27,15000,0,14000,1,85000,9,2,26
27,15000,0,14000,1,85000,9,2,26
27,15000,0,14000,1,85000,9,2,26
27,15000,0,14000,1,85000,9,2,26
46,10000,0,10000,3,50000,9,3,37
46,10000,0,10000,3,50000,9,3,37
46,10000,0,10000,3,50000,9,3,37
46,10000,0,10000,3,50000,9,3,37
46,10000,0,10000,3,50000,9,3,37
34,34000,0,23000,5,68000,12,4,27
34,27000,0,23000,5,63000,12,4,27
34,31000,0,23000,5,61000,12,4,27
34,34000,0,23000,5,66000,12,4,27
34,34000,0,23000,5,73000,12,4,27
51,35000,0,35000,1,165000,13,5,42
51,35000,0,35000,1,165000,13,5,42
51,35000,0,35000,1,165000,13,5,42
51,35000,0,35000,1,165000,13,5,42
51,35000,0,35000,1,165000,13,5,42
40,31000,0,21000,1,123000,12,6,34
40,28000,0,20000,1,123000,12,6,34
40,36000,0,17000,1,123000,12,6,34
40,33000,0,17000,1,123000,12,6,34
40,33000,0,18000,1,123000,12,6,34
46,10000,0,8000,1,78000,12,3,40
46,10000,0,8000,1,78000,12,3,40
46,10000,0,8000,1,78000,12,3,40
46,10000,0,8000,1,78000,12,3,40
46,10000,0,8000,1,78000,12,3,40
32,30000,0,22000,1,105000,13,4,22
32,30000,0,22000,1,105000,13,4,22
32,30000,0,22000,1,105000,13,4,22
32,30000,0,22000,1,105000,13,4,22
32,30000,0,22000,1,105000,13,4,22
23,20000,1,11000,0,20000,9,1,21
