occp,age_bin,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
4,2,18.926016,239.24219,2251.7622,7041.6411,11982.116,15813.974,19067.51,21950.91,24648.467,27027.328,29597.881,32151.369,35338.398,38405.172,41898.336,46740.891,51776.988,59984.773,73800.539
4,3,1.6667111,163.36992,2177.5237,7471.7158,12589.682,16791.816,20367.496,23030.898,25882.043,28602.729,31245.963,34186.238,37236.23,40809.676,45129.164,49753.473,55800.82,64076.168,77906.703
4,4,1.8788291,131.10698,1771.7817,7274.6582,12891.297,17315.607,21006.953,24033.402,27367.615,30102.102,33060.023,36218.426,39496.531,42900.848,47394.598,52186.734,58734.336,67328.563,82476.695
4,5,0,115.90278,1557.1908,6943.8413,12860.483,17559.1,21471.941,24882.381,27888.395,30960.492,34043.172,37227.852,40844.801,44839.598,49427.426,54900.656,61031.48,70334.211,85931.922
4,6,0,75.323227,1547.9027,6565.0171,13206.64,18094.561,22085.482,25440.473,28996.783,32377.629,35532.125,38978.965,42629.469,47127.578,51376.891,57032.891,63611.516,73118.82,89750.445
4,7,42.270027,126.30698,1342.8212,7019.4458,13826.177,18681.646,22974.869,26557.445,29802.807,33626.637,36743.563,40173.977,44237.18,48573.988,53361.461,59135.781,66162.836,75578.383,91073.773
4,8,0,20.548018,1336.0028,7581.5366,14226.671,19398,23478.602,27060.469,30354.18,34026.16,37234.18,41043.875,44503.242,48941.199,53574.012,59670.09,66493.977,76562.086,92547
4,9,0,70.922531,1302.3202,7049.6265,14099.572,19233.531,23665.42,27425.176,30922.719,34275.715,37640.535,41497.781,45418.82,49690.828,54380.801,59941.469,67436.609,76887.5,93676.047
4,10,0,17.396627,949.41583,6322.0825,13562.916,18983.119,23561.307,27612.486,31353.699,34572.449,38386.02,42336.715,46240.395,50759.426,55476.578,61124.609,68368.234,77626.891,93784.227
4,11,0,19.888958,1011.8007,6299.6924,14208.802,20035.91,24733.92,28457.381,32315.576,35476.953,39195.98,43580.129,47107.398,51759.461,56730.23,62107.34,69772.484,79162.258,95258.617
4,12,0,30.250631,770.52893,5484.7412,13773.949,20077.871,24640.969,28753.309,32646.613,36238.121,39894.59,43651.531,47717.645,51883.816,57388.547,62624.453,70212.719,79971.797,96133.563
4,13,0,1.8549238,617.60779,4948.6797,13029.252,19408.084,24348.559,28616.271,32695.719,36196.93,39713.621,43737.949,47878.668,52210.406,57569.34,62971.25,70292.523,80484.609,96507.055
4,14,9.0633183,22.658297,349.8786,4218.8999,11897.316,19056.164,24283.422,28498.225,32651.344,36497.039,40250.27,44313.945,48650.77,52832.973,58147.984,63848.887,71081.82,81145.945,97226.313
4,15,0,0,344.08392,3364.9663,11532.02,18724.965,24275.873,28669.088,32839.211,36706.023,40388.391,44283.539,48734.855,52659.316,58212.477,63807.676,71556.664,81764.109,98290.156
4,16,0,0,8.5040665,1682.6078,8455.9355,17033.891,23045.32,27682.533,32187.139,36259.492,39913.746,43998.82,48775.262,52867.367,58359.891,64173.129,71862.531,81981.203,99367.32
4,17,0,0,1.35656,300.1055,5040.3125,13301.091,20514.357,25727.42,30186.447,34390.086,38532.242,42869.27,47450.539,51688.164,57238.965,63058.258,70281.516,80590.125,97719.258
4,18,0,0,0,29.588354,2129.9519,8770.749,16687.629,23153.873,28223,32752.666,37108.824,41031.816,45747.566,50206.203,55727.219,61600.207,68710.039,78875.742,95393.047
4,19,0,0,0,24.684732,151.95921,1509.5364,7820.668,15636.227,22196.459,27664.529,32386.547,36995.91,41473.434,46795.023,51540.516,57612.395,65217.012,75379.125,91716.313
4,20,0,0,0,0,0,0,.75529236,3.7764618,7.0600333,205.51602,2315.0232,7726.8394,14672.776,22230.119,30224.016,37793.461,46789.898,58132.371,76390.375
5,1,.47319677,113.12107,1152.8145,3488.093,6353.9014,9241.1787,12001.427,14633.256,17138.494,19277.131,21649.533,23709.689,26159.012,28620.102,31441.465,34639.484,39455.934,45803.516,56426.203
5,2,.78969538,75.24147,1366.3822,4227.3145,7428.3169,10740.73,13767.819,16537.586,19089.756,21500.361,23696.641,26356.266,28723.803,31820.01,34960.527,38812.656,43840.391,50610.438,63107.715
5,3,0,65.953156,1583.1504,4921.1079,8441.8936,11781.063,14897.285,17843.523,20556.893,23005.697,25585.742,28322.143,30914.16,34240.305,37713.77,42132.094,47382.141,54828.699,67747.266
5,4,5.5916142,123.1222,1592.8707,4881.9697,8698.832,12399.026,15975.899,18736.801,21350.844,24003.846,26895.125,29480.961,32537.023,35737.047,39721.711,44354.16,49977.387,57902.938,72353.258
5,5,0,123.73715,1487.2531,5018.8281,9053.3418,12627.491,16216.707,19374.125,22058.514,24621.047,27594.596,30168.393,33353.184,36523.895,40371.574,45415.563,51162.203,59499.746,73941.797
5,6,26.719925,113.88316,1619.8235,5709.9092,10158.939,14041.581,17606.52,20549.518,23456.82,26445.227,29272.285,32291.85,35361.523,39094.84,43605.453,48850.371,54145.832,63096.902,79252.828
5,7,6.8917017,181.46864,2244.7849,6942.8232,11569.905,15403.753,18736.42,21688.141,24517.818,27346.381,30198.99,33420.125,36309.07,39906.379,44532.73,49426.34,55675.438,65109.777,82865.648
5,8,4.3261585,178.48407,2938.2532,8118.1582,12642.396,16516.846,19875.461,22571.104,25530.086,28438.377,31137.512,34365.691,37956.168,41291.852,45791.305,50051.402,56693.492,65419.254,80765.703
5,9,0,219.21861,3103.6748,8160.0273,12549.459,16615.373,19717.398,22607.816,25567.449,28677.539,31707.445,34751.148,38411.668,42260.348,46706.734,51564.254,58200.27,68294.492,85027.359
5,10,0,108.29205,2862.3193,8362.376,12983.373,16752.049,20211.688,23162.822,26288.344,29215.736,32239.158,35527.043,39154.086,43066.715,47521.82,52268.313,58845.445,68341.195,84420.008
5,11,1.039589,298.63101,3482.804,9335.7783,14269.16,18241.414,21361.508,24491.084,27438.742,30320.17,33674.172,36820.699,39809.746,43772.316,48181.109,53158.992,59721.699,69019.672,86265.758
5,12,0,204.68686,3484.428,9118.7441,13969.03,18005.373,21481.621,24388.045,27295.074,30272.289,33298.566,36345.496,39777.336,43748.918,48121.344,52846.641,59418.434,68822.844,85701.563
5,13,10.955488,241.35764,3235.7483,9180.5332,14072.104,18133.797,21425.508,24361.574,27407.414,30255.918,33465.387,36799.156,40042.625,43870.059,48330.977,52798.234,59688.789,69377.211,87558.438
5,14,0,140.3721,2429.5151,8287.3975,13504.197,17793.445,21474.604,24625.029,27742.689,30839.553,34094.09,37479.055,40679.332,44725.379,48610.105,53004.824,59969.227,69640.047,87058.055
5,15,0,33.538082,1916.0283,7616.6338,13376.781,17820.684,21294.607,24843.949,27881.484,30834.713,33756.852,37339.828,40791.352,44421.832,49043.938,53215.371,59952.438,68988.859,87108.664
5,16,0,28.198381,1148.1436,6220.8657,12245.981,16620.334,20422.01,23764.219,26937.762,30036.76,33349.047,36706.477,40129.117,44137.031,48684.895,53352.629,60214.043,69387.156,87425.781
5,17,0,2.3114138,784.37146,4811.436,10688.47,15644.48,19610.951,22975.816,26398.469,29395.613,32814.305,36246.441,39443.098,43642.047,48091.77,52789.77,59583.023,68352.219,85952.75
5,18,0,0,159.88728,2164.7163,7700.3057,13130.891,17444.598,21128.014,24637.635,27928.729,31323.607,34887.773,38782.375,42608.691,46934.684,51808.039,58174.395,67461.672,85231.617
5,19,0,0,0,133.76865,2261.5291,7611.7266,12506.479,16810.984,20825.881,24411.766,27992.105,31512.912,35550.566,39422.727,43933.734,49138.215,55068.273,63959.48,80927.102
5,20,0,0,0,0,0,0,42.749222,487.73392,2295.5503,5263.7725,8461.6123,11451.104,14748.564,18723.412,23808.08,29974.891,37156.375,46384.594,60965.703
